Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12544,2022,Pembina 09-17-050-07W5,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.0272,18.8264,11354.6021
G12544,2022,Pembina 09-17-050-07W5,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,10089.998,10923.9618,11354.6021
G12544,2022,Pembina 09-17-050-07W5,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.3017,268.4605,11354.6021
G12545,2022,Kerry Renfrew,Ontario,Flavouring Syrup and Concentrate Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,549.426,552.1817,796.1017
G12545,2022,Kerry Renfrew,Ontario,Flavouring Syrup and Concentrate Manufacturing,Waste / Déchets,0,243.92,796.1017
G12547,2022,Canoe Forest Products,British Columbia,Softwood Veneer and Plywood Mills,Stationary Fuel Combustion / Combustion stationnaire de combustibles,17587.85,17677.665,18732.511
G12547,2022,Canoe Forest Products,British Columbia,Softwood Veneer and Plywood Mills,On-site Transportation / Transport sur le site,1017.07,1054.846,18732.511
G12548,2022,Enhance Energy - Clive 04-15,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,81.376707,81.376707,81.376707
G12549,2022,MODATEK SYSTEMS,Ontario,Other Motor Vehicle Parts Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,8661.22,8705.73,9645.121524
G12549,2022,MODATEK SYSTEMS,Ontario,Other Motor Vehicle Parts Manufacturing,On-site Transportation / Transport sur le site,914.8,939.391524,9645.121524
G12550,2022,Weyerhaeuser Princeton Sawmill,British Columbia,Sawmills (except Shingle and Shake Mills),Stationary Fuel Combustion / Combustion stationnaire de combustibles,13835.19,13906.12037,15801.66037
G12550,2022,Weyerhaeuser Princeton Sawmill,British Columbia,Sawmills (except Shingle and Shake Mills),On-site Transportation / Transport sur le site,1820.35,1895.54,15801.66037
G12551,2022,Grand Forks Sawmill,British Columbia,Sawmills (except Shingle and Shake Mills),Stationary Fuel Combustion / Combustion stationnaire de combustibles,11845.511,11939.271,11939.271
G12552,2022,Dunkley Lumber Ltd.,British Columbia,Sawmills (except Shingle and Shake Mills),Stationary Fuel Combustion / Combustion stationnaire de combustibles,26020.6,26153.42266,29543.34046
G12552,2022,Dunkley Lumber Ltd.,British Columbia,Sawmills (except Shingle and Shake Mills),On-site Transportation / Transport sur le site,3255.78,3389.9178,29543.34046
G12553,2022,Red Chris Mine,British Columbia,Gold and Silver Ore Mining,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2872.01,2927.7736,98914.1795
G12553,2022,Red Chris Mine,British Columbia,Gold and Silver Ore Mining,On-site Transportation / Transport sur le site,92192.89,95986.4059,98914.1795
G12555,2022,Moly-Cop Canada,British Columbia,Iron Foundries,Stationary Fuel Combustion / Combustion stationnaire de combustibles,24934.4,25061.67952,25123.63214
G12555,2022,Moly-Cop Canada,British Columbia,Iron Foundries,On-site Transportation / Transport sur le site,60.09667,61.95262,25123.63214
G12556,2022,Solid Waste Area Management Project,Manitoba,Waste Treatment and Disposal,Stationary Fuel Combustion / Combustion stationnaire de combustibles,4.53893,4.543645,18274.15426
G12556,2022,Solid Waste Area Management Project,Manitoba,Waste Treatment and Disposal,On-site Transportation / Transport sur le site,146.74185,147.15334,18274.15426
G12556,2022,Solid Waste Area Management Project,Manitoba,Waste Treatment and Disposal,Waste / Déchets,0,18122.45727,18274.15426
G12558,2022,Twining Sweet Gas Plant 04-02,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,813.608,881.56612,4365.47012
G12558,2022,Twining Sweet Gas Plant 04-02,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,2230.975,2417.664,4365.47012
G12558,2022,Twining Sweet Gas Plant 04-02,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,2.184,1066.24,4365.47012
G12559,2022,PRESSTRAN INDUSTRIES (170 Edward St),Ontario,Other Motor Vehicle Parts Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,4043,4073.055,4073.055
G12560,2022,PRESSTRAN INDUSTRIES (1155 Talbot St),Ontario,Other Motor Vehicle Parts Manufacturing,Stationary Fuel Combustion / Combustion stationnaire de combustibles,513,517.035,517.035
G12561,2022,Robert O. Pickard Environmental Centre,Ontario,Sewage Treatment Facilities,Stationary Fuel Combustion / Combustion stationnaire de combustibles,2307.745,3617.25365,58926.47972
G12561,2022,Robert O. Pickard Environmental Centre,Ontario,Sewage Treatment Facilities,On-site Transportation / Transport sur le site,0.2689,0.276067,58926.47972
G12561,2022,Robert O. Pickard Environmental Centre,Ontario,Sewage Treatment Facilities,Wastewater / Eaux usées,1.04,55308.95,58926.47972
G12562,2022,ARCHER 09-25-074-08W6 MWOB & GS,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,3585.0942,4159.9797,14501.4557
G12562,2022,ARCHER 09-25-074-08W6 MWOB & GS,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0,892.976,14501.4557
G12562,2022,ARCHER 09-25-074-08W6 MWOB & GS,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,8723.5,9448.5,14501.4557
G12563,2022,Progress Comp Stn 04-21,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,9772.02,12867.21922,12867.21922
G12564,2022,115 Drumlin Cir,Ontario,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",Stationary Fuel Combustion / Combustion stationnaire de combustibles,393.15,393.15,400.18
G12564,2022,115 Drumlin Cir,Ontario,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",On-site Transportation / Transport sur le site,7.03,7.03,400.18
G12565,2022,180 Viceroy RD,Ontario,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",Stationary Fuel Combustion / Combustion stationnaire de combustibles,292.04,292.04,326.33
G12565,2022,180 Viceroy RD,Ontario,"Wood Office Furniture, including Custom Architectural Woodwork, Manufacturing",On-site Transportation / Transport sur le site,34.29,34.29,326.33
